scenarioId,scenarioType,severity,etaErrorMean,oracleDecision,identifiedDecision,decisionMatch,controllabilityMatch,trimInfoConsistency,conservativeDecision,dangerousMismatch,identifierConfidence,identifierUncertainty
45,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
46,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
47,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
48,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
49,compound,0.2,0.788077023286222,RETURN,UNRECOVERABLE,0,0,0,1,0,0.809591435592183,0.105612779535929
50,compound,0.2,0.788077023286222,RETURN,UNRECOVERABLE,0,0,0,1,0,0.809591435592183,0.105612779535929
51,compound,0.2,0.788077023286222,RETURN,UNRECOVERABLE,0,0,0,1,0,0.809591435592183,0.105612779535929
52,compound,0.2,0.788077023286222,RETURN,UNRECOVERABLE,0,0,0,1,0,0.809591435592183,0.105612779535929
53,compound,0.2,0.788077023286222,RETURN,UNRECOVERABLE,0,0,0,1,0,0.809591435592183,0.105612779535929
54,compound,0.2,0.788077023286222,RETURN,UNRECOVERABLE,0,0,0,1,0,0.809591435592183,0.105612779535929
55,compound,0.2,0.788077023286222,RETURN,UNRECOVERABLE,0,0,0,1,0,0.809591435592183,0.105612779535929
56,compound,0.2,0.788077023286222,RETURN,UNRECOVERABLE,0,0,0,1,0,0.809591435592183,0.105612779535929
57,compound,0.2,0.788077023286222,RETURN,UNRECOVERABLE,0,0,0,1,0,0.809591435592183,0.105612779535929
58,compound,0.2,0.788077023286222,RETURN,UNRECOVERABLE,0,0,0,1,0,0.809591435592183,0.105612779535929
59,compound,0.2,0.788077023286222,RETURN,UNRECOVERABLE,0,0,0,1,0,0.809591435592183,0.105612779535929
60,compound,0.2,0.788077023286222,RETURN,UNRECOVERABLE,0,0,0,1,0,0.809591435592183,0.105612779535929
61,wing,0.5,0.755913943292443,RETURN,UNRECOVERABLE,0,0,0,1,0,0.853851363549939,0.0789990738534894
62,wing,0.5,0.755913943292443,RETURN,UNRECOVERABLE,0,0,0,1,0,0.853851363549939,0.0789990738534894
63,wing,0.5,0.755913943292443,RETURN,UNRECOVERABLE,0,0,0,1,0,0.853851363549939,0.0789990738534894
64,wing,0.5,0.755913943292443,RETURN,UNRECOVERABLE,0,0,0,1,0,0.853851363549939,0.0789990738534894
65,wing,0.5,0.755913943292443,RETURN,UNRECOVERABLE,0,0,0,1,0,0.853851363549939,0.0789990738534894
66,wing,0.5,0.755913943292443,RETURN,UNRECOVERABLE,0,0,0,1,0,0.853851363549939,0.0789990738534894
67,wing,0.5,0.755913943292443,RETURN,UNRECOVERABLE,0,0,0,1,0,0.853851363549939,0.0789990738534894
68,wing,0.5,0.755913943292443,RETURN,UNRECOVERABLE,0,0,0,1,0,0.853851363549939,0.0789990738534894
69,wing,0.5,0.755913943292443,RETURN,UNRECOVERABLE,0,0,0,1,0,0.853851363549939,0.0789990738534894
70,wing,0.5,0.755913943292443,RETURN,UNRECOVERABLE,0,0,0,1,0,0.853851363549939,0.0789990738534894
71,wing,0.5,0.755913943292443,RETURN,UNRECOVERABLE,0,0,0,1,0,0.853851363549939,0.0789990738534894
72,wing,0.5,0.755913943292443,RETURN,UNRECOVERABLE,0,0,0,1,0,0.853851363549939,0.0789990738534894
73,tail,0.5,0.697626661116211,RETURN,UNRECOVERABLE,0,0,0,1,0,0.866959986277643,0.0713812275977645
74,tail,0.5,0.697626661116211,RETURN,UNRECOVERABLE,0,0,0,1,0,0.866959986277643,0.0713812275977645
75,tail,0.5,0.697626661116211,RETURN,UNRECOVERABLE,0,0,0,1,0,0.866959986277643,0.0713812275977645
76,tail,0.5,0.697626661116211,RETURN,UNRECOVERABLE,0,0,0,1,0,0.866959986277643,0.0713812275977645
77,tail,0.5,0.697626661116211,RETURN,UNRECOVERABLE,0,0,0,1,0,0.866959986277643,0.0713812275977645
78,tail,0.5,0.697626661116211,RETURN,UNRECOVERABLE,0,0,0,1,0,0.866959986277643,0.0713812275977645
79,tail,0.5,0.697626661116211,RETURN,UNRECOVERABLE,0,0,0,1,0,0.866959986277643,0.0713812275977645
80,tail,0.5,0.697626661116211,RETURN,UNRECOVERABLE,0,0,0,1,0,0.866959986277643,0.0713812275977645
81,tail,0.5,0.697626661116211,RETURN,UNRECOVERABLE,0,0,0,1,0,0.866959986277643,0.0713812275977645
82,tail,0.5,0.697626661116211,RETURN,UNRECOVERABLE,0,0,0,1,0,0.866959986277643,0.0713812275977645
83,tail,0.5,0.697626661116211,RETURN,UNRECOVERABLE,0,0,0,1,0,0.866959986277643,0.0713812275977645
84,tail,0.5,0.697626661116211,RETURN,UNRECOVERABLE,0,0,0,1,0,0.866959986277643,0.0713812275977645
